Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2010-1-1,64.6,55.9,42.3,61.4,51.6,38.2,93,86,64,30.06,29.84,18,4,18,1.04 
2010-1-2,59.4,44.0,32.5,38.2,30.2,22.6,88,61,35,30.14,30.01,16,5,16,0.01 
2010-1-3,44.8,34.9,28.6,24.4,22.5,20.3,76,61,39,30.14,30.00,8,3,8,0.00 
2010-1-4,47.3,34.6,27.3,23.3,18.7,13.2,74,53,27,30.08,29.98,10,3,10,0.00 
2010-1-5,49.5,36.9,28.2,21.3,17.5,11.8,66,47,22,30.17,30.03,16,6,16,0.00 
2010-1-6,54.1,35.5,24.3,18.4,15.2,8.3,68,47,16,30.19,30.06,13,3,13,0.00 
2010-1-7,65.5,41.2,24.4,28.8,19.9,11.2,76,49,14,30.16,30.00,10,2,10,0.00 
2010-1-8,48.2,42.5,36.3,43.6,34.2,19.7,89,73,51,30.09,29.91,13,4,13,0.04 
2010-1-9,39.6,32.0,23.9,20.3,17.1,15.4,73,55,40,30.20,30.06,12,5,12,0.00 
2010-1-10,23.9,23.9,23.9,16.5,16.5,16.5,73,73,73,30.20,30.20,0,0,0,0.00 
2010-1-11,49.8,29.0,23.9,23.5,17.4,15.2,73,64,25,32.08,23.75,7,0,7,0.00 
2010-1-12,61.0,45.7,26.6,24.5,23.4,20.2,83,48,22,30.69,23.67,13,4,13,0.00 
2010-1-13,31.6,31.3,31.3,24.6,24.6,23.8,76,76,73,28.20,24.02,1,0,1,0.00 
2010-1-30,66.4,61.5,31.3,63.8,58.1,24.6,92,89,76,32.05,23.69,20,10,20,0.04 
2010-1-31,54.0,53.2,53.2,49.9,49.2,49.2,86,86,86,31.87,28.59,10,8,10,0.00 
2010-2-1,53.2,53.2,53.2,49.2,49.2,49.2,86,86,86,31.87,31.87,8,8,8,0.00 
2010-2-2,53.2,53.2,53.2,49.2,49.2,49.2,86,86,86,31.87,31.87,8,8,8,0.00 
2010-2-3,53.2,53.2,53.2,49.2,49.2,49.2,86,86,86,31.87,31.87,8,8,8,0.00 
2010-2-4,59.9,53.5,53.2,55.7,49.5,49.2,88,86,85,31.87,23.63,8,8,8,0.00 
2010-2-5,75.0,65.2,59.0,66.7,60.7,54.2,88,86,75,31.83,23.72,22,5,22,0.04 
2010-2-6,61.2,59.4,59.2,54.6,52.9,52.3,79,79,78,31.77,24.44,20,8,20,0.00 
2010-3-6,63.5,50.4,37.9,31.3,25.7,15.6,72,42,17,30.25,30.16,5,0,7,0.00 
2010-3-7,69.4,50.7,32.5,38.5,30.5,20.7,94,55,17,30.32,30.15,10,1,10,0.00 
2010-3-8,73.2,55.5,40.8,42.6,35.5,21.9,86,54,16,30.21,30.04,7,0,10,0.00 
2010-3-9,72.9,58.1,44.8,51.6,45.9,41.2,92,68,33,30.12,29.99,8,0,10,0.00 
2010-3-10,81.0,64.1,46.2,58.6,50.8,44.8,96,67,30,30.03,29.89,15,1,15,0.00 
2010-3-11,69.3,65.5,62.2,67.3,63.7,57.4,97,94,74,29.93,29.65,7,1,9,1.22 
2010-3-12,69.1,64.8,62.2,65.8,63.5,61.3,99,96,85,29.72,29.57,13,1,14,0.22 
2010-3-13,70.9,61.6,53.4,61.5,50.0,39.7,98,70,34,29.71,29.60,18,3,20,0.01 
2010-3-14,70.2,58.6,48.4,50.5,44.9,38.8,80,62,38,29.86,29.71,16,3,18,0.00 
2010-3-15,67.5,59.2,49.8,50.7,47.1,43.9,85,66,44,29.99,29.82,14,2,17,0.00 
2010-3-16,68.7,55.3,44.1,48.6,43.8,40.8,90,68,38,30.06,29.94,8,1,11,0.00 
2010-3-17,63.7,54.0,47.3,55.4,50.6,45.1,98,89,65,30.06,29.89,8,0,9,0.31 
2010-3-18,61.9,54.3,48.4,51.3,49.2,46.4,96,84,60,30.00,29.89,11,1,12,0.10 
2010-3-19,74.5,59.9,47.7,52.3,45.4,38.3,96,65,29,30.10,29.99,8,1,9,0.00 
2010-3-20,78.6,61.5,45.0,53.4,48.9,43.7,96,67,37,30.14,30.04,10,1,11,0.00 
2010-3-21,68.5,60.7,52.5,65.3,57.6,48.7,96,90,82,30.07,29.84,12,2,16,0.42 
2010-3-22,63.9,55.5,48.7,52.0,49.1,46.0,96,80,58,30.01,29.89,20,2,20,0.00 
2010-3-23,70.5,57.0,43.7,48.9,45.7,41.9,95,69,40,30.12,29.96,11,2,12,0.00 
2010-3-24,76.5,60.5,46.2,56.1,48.4,43.5,98,70,33,30.18,30.05,8,1,9,0.00 
2010-3-25,79.3,65.0,53.4,61.9,56.6,49.5,97,77,49,30.10,29.72,16,2,24,0.61 
2010-3-26,80.6,67.9,56.8,62.1,57.3,47.7,97,73,34,29.98,29.78,14,2,15,0.00 
2010-3-27,76.6,61.7,48.9,60.4,54.5,47.1,95,79,53,30.12,29.98,13,2,15,0.00 
2010-3-28,70.9,63.2,54.7,66.2,60.0,53.8,100,90,76,30.10,29.83,9,1,12,0.03 
2010-3-29,72.9,64.5,55.2,64.0,55.6,44.8,97,76,41,29.87,29.67,13,2,17,0.49 
2010-3-30,73.8,60.3,47.5,47.7,45.2,39.7,94,62,32,30.05,29.86,12,2,15,0.49 
2010-3-31,80.4,63.9,48.9,51.4,47.1,41.0,94,61,26,30.15,30.04,7,1,8,0.00 
2010-4-1,85.5,67.5,51.6,55.6,51.4,44.1,97,62,26,30.18,30.06,7,1,8,0.00 
2010-4-2,88.0,68.7,52.0,60.4,54.1,44.8,96,66,24,30.15,30.03,10,1,11,0.00 
2010-4-3,83.7,70.4,57.0,63.1,56.4,46.2,97,67,29,30.14,30.06,8,1,9,0.00 
2010-4-4,88.2,70.4,55.9,66.0,59.0,54.9,97,72,35,30.22,30.10,8,1,8,0.00 
2010-4-5,88.9,70.5,57.0,64.4,59.4,55.9,98,72,38,30.27,30.15,8,1,9,0.00 
2010-4-6,88.7,71.3,57.2,63.5,58.7,48.7,97,70,26,30.21,30.05,8,1,9,0.00 
2010-4-7,79.2,66.6,59.4,62.4,59.0,54.1,96,78,50,30.10,29.98,14,1,15,0.00 
2010-4-8,87.1,71.8,59.5,68.0,62.1,55.2,95,74,36,30.01,29.85,13,2,17,0.00 
2010-4-9,78.3,69.5,53.8,67.8,53.4,36.1,94,62,24,30.16,29.85,14,2,15,0.09 
2010-4-10,81.1,63.9,47.3,58.8,49.6,41.0,94,64,30,30.30,30.15,9,1,11,0.00 
2010-4-11,78.6,68.3,61.0,61.7,58.4,54.9,93,72,50,30.28,30.17,12,2,14,0.00 
2010-4-12,80.1,65.8,58.6,62.2,59.1,54.1,97,81,44,30.21,30.15,17,2,17,0.00 
2010-4-13,79.3,66.7,58.3,68.7,61.9,57.2,97,85,57,30.26,30.17,12,2,16,0.16 
2010-4-14,82.2,70.2,61.0,63.3,59.5,52.9,98,73,39,30.35,30.23,13,2,16,0.01 
2010-4-15,79.2,69.1,62.6,62.1,60.0,55.0,95,75,46,30.36,30.25,13,2,15,0.00 
2010-4-17,80.4,72.2,63.1,59.9,57.8,54.3,89,63,42,29.96,29.91,4,0,10,0.00 
2010-4-18,82.8,68.3,59.0,63.3,59.9,55.8,97,77,44,29.95,29.86,7,0,8,0.00 
2010-4-19,77.2,67.4,61.5,61.7,58.8,55.9,93,75,56,30.01,29.92,10,1,12,0.00 
2010-4-20,82.8,66.9,54.1,63.7,56.8,49.1,96,75,35,30.02,29.89,9,1,9,0.06 
2010-4-21,82.6,69.7,58.1,63.7,59.7,55.0,98,74,41,29.93,29.79,7,1,10,0.01 
2010-4-22,85.1,70.0,55.8,63.1,55.2,47.5,97,65,31,29.99,29.87,7,1,10,0.00 
2010-4-23,90.3,73.2,57.0,63.1,58.8,55.4,96,65,34,30.03,29.92,8,1,9,0.00 
2010-4-24,90.0,77.7,67.8,67.8,61.9,57.0,82,61,38,30.06,29.87,10,1,13,0.00 
2010-4-25,77.5,72.5,68.4,73.0,68.0,63.9,94,86,76,29.87,29.63,13,2,22,0.10 
2010-4-26,87.3,73.6,65.7,67.8,62.9,50.7,96,73,31,29.70,29.52,17,2,17,0.00 
2010-4-27,85.5,69.9,56.5,63.7,56.9,52.7,94,67,36,29.85,29.68,14,2,20,0.17 
2010-4-28,77.4,63.1,47.5,59.2,48.8,41.7,96,64,32,30.04,29.85,12,1,12,0.01 
2010-4-29,84.0,66.7,49.8,62.1,51.9,44.6,96,66,27,30.12,29.97,7,1,9,0.00 
2010-4-30,85.3,71.7,60.8,72.9,65.5,59.7,98,83,55,30.05,29.93,8,1,9,1.42 
2010-5-1,94.1,78.3,67.8,76.8,71.5,67.1,98,82,53,30.03,29.91,11,1,12,0.25 
2010-5-2,96.6,82.9,72.7,74.5,72.3,70.0,95,73,46,30.04,29.96,10,2,12,0.00 
2010-5-3,93.9,81.1,72.9,76.6,73.2,71.2,96,79,52,30.04,29.97,11,1,18,0.00 
2010-5-4,91.2,78.5,71.8,75.7,73.1,70.5,97,85,58,30.04,29.89,13,1,13,0.56 
2010-5-5,87.3,77.3,73.4,77.7,73.8,70.2,98,89,68,29.98,29.89,13,1,13,0.10 
2010-5-6,90.9,79.6,72.9,75.6,71.8,66.7,98,79,48,30.01,29.92,8,1,10,0.00 
2010-5-7,91.8,79.6,71.4,73.4,69.9,62.2,97,75,44,30.04,29.97,11,1,14,0.00 
2010-5-8,92.1,80.4,71.4,73.6,71.8,68.9,97,77,49,30.04,29.92,13,2,17,0.00 
2010-5-9,85.5,73.9,64.8,72.1,57.7,47.1,87,60,34,30.17,30.01,10,2,13,0.00 
2010-5-10,86.4,72.7,62.2,62.8,60.4,57.0,95,69,40,30.24,30.13,8,1,10,0.00 
2010-5-11,89.1,74.7,63.0,67.8,63.6,59.5,92,70,44,30.24,30.15,9,1,12,0.00 
2010-5-12,90.0,75.9,64.4,67.6,64.8,61.9,97,72,42,30.25,30.14,8,1,9,0.00 
2010-5-13,91.2,75.9,64.6,69.4,66.1,63.7,97,74,43,30.27,30.16,7,1,7,0.00 
2010-5-14,90.9,76.1,65.8,70.2,66.8,63.1,96,75,42,30.27,30.19,7,1,8,0.00 
2010-5-15,90.0,76.4,63.9,70.7,67.2,63.0,97,76,47,30.23,30.08,7,1,8,0.00 
2010-5-16,94.3,79.6,70.0,72.9,69.2,62.4,97,74,38,30.13,29.96,10,1,12,0.48 
2010-5-17,85.3,74.7,70.2,77.7,72.2,69.3,98,92,74,30.04,29.89,6,0,7,0.64 
2010-5-18,91.8,79.2,70.9,72.3,69.2,62.1,98,75,40,29.98,29.86,8,1,9,0.00 
2010-5-19,92.1,79.7,69.1,72.9,69.5,64.6,97,74,43,29.95,29.86,8,1,10,0.00 
